event_type,event_side,combined_regime,count
FVG,bearish,BALANCE__NORMAL_VOL,1977
FVG,bearish,IMBALANCE__NORMAL_VOL,404
FVG,bearish,BALANCE__HIGH_VOL,135
FVG,bearish,IMBALANCE__HIGH_VOL,84
FVG,bearish,BALANCE__LOW_VOL,45
FVG,bullish,BALANCE__NORMAL_VOL,1877
FVG,bullish,IMBALANCE__NORMAL_VOL,441
FVG,bullish,BALANCE__HIGH_VOL,107
FVG,bullish,IMBALANCE__HIGH_VOL,90
FVG,bullish,BALANCE__LOW_VOL,66
FVG,bullish,IMBALANCE__LOW_VOL,6
ORDER_BLOCK_PROXY,bearish,BALANCE__NORMAL_VOL,660
ORDER_BLOCK_PROXY,bearish,IMBALANCE__NORMAL_VOL,160
ORDER_BLOCK_PROXY,bearish,BALANCE__HIGH_VOL,112
ORDER_BLOCK_PROXY,bearish,IMBALANCE__HIGH_VOL,59
ORDER_BLOCK_PROXY,bullish,BALANCE__NORMAL_VOL,576
ORDER_BLOCK_PROXY,bullish,IMBALANCE__NORMAL_VOL,167
ORDER_BLOCK_PROXY,bullish,BALANCE__HIGH_VOL,54
ORDER_BLOCK_PROXY,bullish,IMBALANCE__HIGH_VOL,21
