stream,sym,side,entry_ts_utc,exit_ts_utc,year,entry_price,stop_init,tp_price,risk,tp_r,managed_r,baseline_r,saved_r,managed_reason,bars_5m,duration_h,mfe_r
S5,TAOUSDT,-1,2024-04-16T12:00:00+00:00,2024-04-22T18:10:00+00:00,2024,480.7,514.27413423,312.82932884,33.57413423,5.0,-1.004295,-1.004295,0.0,SL,1803,150.17,1.6203
S2,TAOUSDT,-1,2024-04-17T12:00:00+00:00,2024-04-20T19:35:00+00:00,2024,462.2,484.26337001,396.00988996,22.06337001,3.0,-1.006285,-1.006285,0.0,SL,956,79.58,1.6271
S3,TAOUSDT,-1,2024-04-17T12:00:00+00:00,2024-04-20T19:40:00+00:00,2024,462.2,484.806337,337.17423659,29.41782669,4.25,-0.773171,-0.773171,0.0,SL,957,79.67,1.2203
S2,TAOUSDT,-1,2024-04-19T23:00:00+00:00,2024-04-20T06:35:00+00:00,2024,437.2,454.4496146,385.45115621,17.2496146,3.0,-1.007604,-1.007604,0.0,SL,92,7.58,0.5218
S5,TAOUSDT,-1,2024-04-24T19:00:00+00:00,2024-04-25T21:15:00+00:00,2024,450.1,472.00003272,340.59983642,21.90003272,5.0,-1.006166,-1.006166,0.0,SL,316,26.25,0.4658
S2,TAOUSDT,-1,2024-04-25T11:00:00+00:00,2024-04-25T17:00:00+00:00,2024,450.4,465.36238701,405.51283898,14.96238701,3.0,-1.009031,-1.009031,0.0,SL,73,6.0,0.1537
S2,TAOUSDT,-1,2024-04-29T04:00:00+00:00,2024-04-29T10:35:00+00:00,2024,416.1,425.4726021,387.98219369,9.3726021,3.0,2.986681,2.986681,0.0,TP,80,6.58,3.7129
S2,TAOUSDT,-1,2024-04-29T07:00:00+00:00,2024-04-30T09:00:00+00:00,2024,407.5,417.63136182,377.10591455,10.13136182,3.0,2.987934,2.987934,0.0,TP,313,26.0,3.0006
S2,TAOUSDT,-1,2024-04-30T09:00:00+00:00,2024-04-30T22:50:00+00:00,2024,379.7,392.65064433,340.848067,12.95064433,3.0,-1.008796,-1.008796,0.0,SL,167,13.83,1.1119
S1,TAOUSDT,1,2024-05-04T11:00:00+00:00,2024-05-05T01:25:00+00:00,2024,453.2,434.22769738,680.86763148,18.97230262,12.0,-1.007166,-1.007166,0.0,SL,174,14.42,0.8855
S2,TAOUSDT,-1,2024-05-06T11:00:00+00:00,2024-05-08T01:30:00+00:00,2024,463.1,478.74281798,416.17154607,15.64281798,3.0,2.991119,2.991119,0.0,TP,463,38.5,3.011
S2,TAOUSDT,-1,2024-05-06T15:00:00+00:00,2024-05-07T08:55:00+00:00,2024,446.0,463.68763729,392.93708812,17.68763729,3.0,-1.007565,-1.007565,0.0,SL,216,17.92,0.8933
S2,TAOUSDT,-1,2024-05-07T12:00:00+00:00,2024-05-08T12:10:00+00:00,2024,436.1,452.20332882,387.79001353,16.10332882,3.0,2.991876,2.991876,0.0,TP,291,24.17,3.1857
S2,TAOUSDT,-1,2024-05-16T15:00:00+00:00,2024-05-17T15:20:00+00:00,2024,377.2,392.30856297,331.8743111,15.10856297,3.0,-1.00749,-1.00749,0.0,SL,293,24.33,0.0132
S2,TAOUSDT,-1,2024-05-19T17:00:00+00:00,2024-05-20T04:45:00+00:00,2024,365.0,373.51821367,339.445359,8.51821367,3.0,-1.012855,-1.012855,0.0,SL,142,11.75,0.81
S4,TAOUSDT,1,2024-05-20T16:00:00+00:00,2024-05-30T07:50:00+00:00,2024,376.1,364.91234882,594.25919808,11.18765118,19.5,0.989915,-1.010085,2.0,BE,2783,231.83,10.2792
S1,TAOUSDT,1,2024-05-20T17:00:00+00:00,2024-05-31T16:05:00+00:00,2024,393.3,380.11146676,551.5623989,13.18853324,12.0,-1.008946,-1.008946,0.0,SL,3158,263.08,7.4155
