stream,sym,side,entry_ts_utc,exit_ts_utc,year,entry_price,stop_init,tp_price,risk,tp_r,managed_r,baseline_r,saved_r,managed_reason,bars_5m,duration_h,mfe_r
S2,SOLUSDT,-1,2022-01-04T19:00:00+00:00,2022-01-05T10:10:00+00:00,2022,167.6,171.27380264,150.95118377,3.91736852,4.25,-0.950659,-0.950659,0.0,SL,183,15.17,0.1021
S1,BTCUSDT,1,2022-01-05T20:00:00+00:00,2022-01-05T20:05:00+00:00,2022,44671.93,44128.22,51740.16,543.71,13.0,-1.024648,-1.024648,0.0,SL,2,0.08,0.2999
S1,SOLUSDT,1,2022-01-05T20:00:00+00:00,2022-01-05T20:05:00+00:00,2022,158.69,157.47,174.55,1.22,13.0,-1.039022,-1.039022,0.0,SL,2,0.08,0.8934
S1,XRPUSDT,1,2022-01-05T20:00:00+00:00,2022-01-05T20:05:00+00:00,2022,0.7978,0.79,0.8992,0.0078,13.0,-1.030685,-1.030685,0.0,SL,2,0.08,0.5513
S3,ETHUSDT,-1,2022-01-05T20:00:00+00:00,2022-01-07T03:30:00+00:00,2022,3653.54,3730.64795114,3268.00024429,77.10795114,5.0,4.985785,4.985785,0.0,TP,379,31.5,5.4795
S3,ETHUSDT,-1,2022-01-05T21:00:00+00:00,2022-01-07T04:15:00+00:00,2022,3592.31,3675.59024035,3175.90879827,83.28024035,5.0,4.987059,4.987059,0.0,TP,376,31.25,5.1705
S3,SOLUSDT,-1,2022-01-05T22:00:00+00:00,2022-01-20T23:50:00+00:00,2022,153.4,158.65911261,127.10443694,5.25911261,5.0,4.991249,4.991249,0.0,TP,4343,361.83,5.2518
S1,ETHUSDT,1,2022-01-06T00:00:00+00:00,2022-01-06T08:30:00+00:00,2022,3537.81,3405.0,5264.34,132.81,13.0,-1.007991,-1.007991,0.0,SL,103,8.5,0.0851
S3,ETHUSDT,-1,2022-01-06T10:00:00+00:00,2022-01-06T14:35:00+00:00,2022,3307.5,3420.80991809,2740.95040955,113.30991809,5.0,-1.008757,-1.008757,0.0,SL,56,4.58,0.0047
S1,LINKUSDT,-1,2022-01-06T20:00:00+00:00,2022-01-06T20:05:00+00:00,2022,25.756,25.961,23.091,0.205,13.0,-1.037692,-1.037692,0.0,SL,2,0.08,0.0195
